season,episode,title,air_date,writers,directors,rating,total_votes
1,1,Welcome to the Hellmouth,1997-03-10,"[Joss Whedon, Matt Kiene, Joe Reinkemeyer]","[Charles Martin Smith, Joss Whedon]",7.9,4759
1,2,The Harvest,1997-03-10,"[Joss Whedon, Matt Kiene, Joe Reinkemeyer]",[John T. Kretchmer],7.7,4137
1,3,Witch,1997-03-17,"[Joss Whedon, Dana Reston, Matt Kiene]",[Stephen Cragg],7.5,4114
1,4,Teacher's Pet,1997-03-24,"[Joss Whedon, David Greenwalt, Matt Kiene]",[Bruce Seth Green],6.7,3977
1,5,Never Kill a Boy on the First Date,1997-03-31,"[Joss Whedon, Rob DesHotel, Dean Batali]",[David Semel],7.2,3777
1,6,The Pack,1997-04-07,"[Joss Whedon, Matt Kiene, Joe Reinkemeyer]",[Bruce Seth Green],7.2,3939
1,7,Angel,1997-04-14,"[Joss Whedon, David Greenwalt, Matt Kiene]",[Scott Brazil],8.4,4097
1,8,"I, Robot... You, Jane",1997-04-28,"[Joss Whedon, Ashley Gable, Thomas A. Swyden]",[Stephen L. Posey],6.5,3792
1,9,The Puppet Show,1997-05-05,"[Joss Whedon, Dean Batali, Rob DesHotel]",[Ellen S. Pressman],7.5,3832
1,10,Nightmares,1997-05-12,"[Joss Whedon, David Greenwalt, Matt Kiene]",[Bruce Seth Green],8,3779
1,11,"Out of Mind, Out of Sight",1997-05-19,"[Joss Whedon, Ashley Gable, Thomas A. Swyden]",[Reza Badiyi],7.5,3654
1,12,Prophecy Girl,1997-06-02,"[Joss Whedon, Matt Kiene, Joe Reinkemeyer]",[Joss Whedon],8.7,4068
2,1,When She Was Bad,1997-09-15,"[Joss Whedon, Rob DesHotel, Dean Batali]",[Joss Whedon],8,3720
2,2,Some Assembly Required,1997-09-22,"[Joss Whedon, David Tyron King, Rob DesHotel]",[Bruce Seth Green],6.8,3469
2,3,School Hard,1997-09-29,"[Joss Whedon, David Greenwalt, Rob DesHotel]",[John T. Kretchmer],8.7,3933
2,4,Inca Mummy Girl,1997-10-06,"[Joss Whedon, Matt Kiene, Joe Reinkemeyer]",[Ellen S. Pressman],7,3514
2,5,Reptile Boy,1997-10-13,"[Joss Whedon, David Greenwalt, Rob DesHotel]",[David Greenwalt],6.9,3460
2,6,Halloween,1997-10-27,"[Joss Whedon, Carl Ellsworth, Rob DesHotel]",[Bruce Seth Green],8.8,4230
2,7,Lie to Me,1997-11-03,"[Joss Whedon, Rob DesHotel, Dean Batali]",[Joss Whedon],8.2,3632
2,8,The Dark Age,1997-11-10,"[Joss Whedon, Dean Batali, Rob DesHotel]",[Bruce Seth Green],7.6,3349
2,9,What's My Line?: Part 1,1997-11-17,"[Joss Whedon, Howard Gordon, Marti Noxon]",[David Solomon],8.1,3440
2,10,What's My Line?: Part 2,1997-11-24,"[Joss Whedon, Marti Noxon, Rob DesHotel]",[David Semel],8.4,3492
2,11,Ted,1997-12-08,"[Joss Whedon, David Greenwalt, Rob DesHotel]",[Bruce Seth Green],7.4,3538
2,12,Bad Eggs,1998-01-12,"[Joss Whedon, Marti Noxon, Rob DesHotel]",[David Greenwalt],6.6,3406
2,13,Surprise,1998-01-19,"[Joss Whedon, Marti Noxon, Rob DesHotel]",[Michael Lange],8.5,3673
2,14,Innocence,1998-01-20,"[Joss Whedon, Rob DesHotel, Dean Batali]",[Joss Whedon],9.2,4180
2,15,Phases,1998-01-27,"[Joss Whedon, Rob DesHotel, Dean Batali]",[Bruce Seth Green],7.9,3320
2,16,"Bewitched, Bothered and Bewildered",1998-02-10,"[Joss Whedon, Marti Noxon, Rob DesHotel]",[James A. Contner],8.7,3995
2,17,Passion,1998-02-24,"[Joss Whedon, David Tyron King, Rob DesHotel]",[Michael Gershman],9.3,4516
2,18,Killed by Death,1998-03-03,"[Joss Whedon, Rob DesHotel, Dean Batali]",[Deran Sarafian],7.3,3361
2,19,I Only Have Eyes for You,1998-04-21,"[Joss Whedon, Marti Noxon, Rob DesHotel]",[James Whitmore Jr.],8.3,3776
2,20,Go Fish,1998-05-05,"[Joss Whedon, David Fury, Elin Hampton]",[David Semel],6.7,3386
2,21,Becoming: Part 1,1998-05-12,"[Joss Whedon, Rob DesHotel, Dean Batali]",[Joss Whedon],9,3958
2,22,Becoming: Part 2,1998-05-19,"[Joss Whedon, Rob DesHotel, Dean Batali]",[Joss Whedon],9.5,4728
3,1,Anne,1998-09-29,"[Joss Whedon, Jane Espenson, Douglas Petrie]",[Joss Whedon],7.8,3628
3,2,Dead Man's Party,1998-10-06,"[Joss Whedon, Marti Noxon, Jane Espenson]",[James Whitmore Jr.],7.3,3260
3,3,"Faith, Hope & Trick",1998-10-13,"[Joss Whedon, David Greenwalt, Jane Espenson]",[James A. Contner],8.1,3431
3,4,Beauty and the Beasts,1998-10-20,"[Joss Whedon, Marti Noxon, Jane Espenson]",[James Whitmore Jr.],7.4,3240
3,5,Homecoming,1998-11-03,"[Joss Whedon, David Greenwalt, Jane Espenson]",[David Greenwalt],8,3211
3,6,Band Candy,1998-11-10,"[Joss Whedon, Jane Espenson, Douglas Petrie]",[Michael Lange],8.6,3757
3,7,Revelations,1998-11-17,"[Joss Whedon, Douglas Petrie, Jane Espenson]",[James A. Contner],8,3269
3,8,Lovers Walk,1998-11-24,"[Joss Whedon, Dan Vebber, Jane Espenson]",[David Semel],8.8,3967
3,9,The Wish,1998-12-08,"[Joss Whedon, Marti Noxon, Jane Espenson]",[David Greenwalt],9.1,4253
3,10,Amends,1998-12-15,"[Joss Whedon, Jane Espenson, Douglas Petrie]",[Joss Whedon],8.3,3502
3,11,Gingerbread,1999-01-12,"[Joss Whedon, Jane Espenson, Thania St. John]",[James Whitmore Jr.],7.2,3239
3,12,Helpless,1999-01-19,"[Joss Whedon, David Fury, Jane Espenson]",[James A. Contner],8.3,3346
3,13,The Zeppo,1999-01-26,"[Joss Whedon, Dan Vebber, Jane Espenson]",[James Whitmore Jr.],8.6,3992
3,14,Bad Girls,1999-02-09,"[Joss Whedon, Douglas Petrie, Jane Espenson]",[Michael Lange],8.2,3316
3,15,Consequences,1999-02-16,"[Joss Whedon, Marti Noxon, Jane Espenson]",[Michael Gershman],8.1,3153
3,16,Doppelgangland,1999-02-23,"[Joss Whedon, Jane Espenson, Douglas Petrie]",[Joss Whedon],9.2,4170
3,17,Enemies,1999-03-16,"[Joss Whedon, Douglas Petrie, Jane Espenson]",[David Grossman],8.6,3272
3,18,Earshot,1999-09-28,"[Joss Whedon, Jane Espenson, Douglas Petrie]",[Regis Kimble],8.7,3510
3,19,Choices,1999-05-04,"[Joss Whedon, David Fury, Jane Espenson]",[James A. Contner],8.1,3117
3,20,The Prom,1999-05-11,"[Joss Whedon, Marti Noxon, Jane Espenson]",[David Solomon],8.7,3488
3,21,Graduation Day: Part 1,1999-05-18,"[Joss Whedon, Jane Espenson, Douglas Petrie]",[Joss Whedon],8.9,3574
3,22,Graduation Day: Part 2,1999-05-24,"[Joss Whedon, Jane Espenson, Douglas Petrie]",[Joss Whedon],9.2,3785
4,1,The Freshman,1999-10-05,"[Joss Whedon, Douglas Petrie]",[Joss Whedon],7.6,3224
